order_month,orders,gmv,avg_review,late_rate
2016-09,1,143.46,1.0,1.0
2016-10,265,46490.66,4.011450381679389,0.007547169811320755
2016-12,1,19.62,5.0,0.0
2017-01,750,127482.37,4.199055330634278,0.029333333333333333
2017-02,1653,271239.32,4.202678027997566,0.029643073200241985
2017-03,2546,414330.95,4.187376335575782,0.04556166535742341
2017-04,2303,390812.4,4.137554585152839,0.06556665219279201
2017-05,3545,566657.4,4.238271253909582,0.029901269393511988
2017-06,3135,490050.37,4.222918675666988,0.030303030303030304
2017-07,3872,566299.08,4.258415755682805,0.027892561983471075
2017-08,4193,645832.36,4.3115246098439375,0.02909611256856666
2017-09,4150,701077.49,4.267484215638659,0.04385542168674699
2017-10,4478,751117.01,4.205240665766982,0.041759714158106295
2017-11,7288,1153229.37,3.9887384275252176,0.12403951701427003
2017-12,5513,843078.29,4.0895440395531955,0.07455106112824234
2018-01,7069,1077887.46,4.108726650506203,0.05700947800254633
2018-02,6555,966168.41,3.881717125147277,0.14126620900076278
2018-03,7003,1120598.24,3.8132556131260795,0.18963301442239042
2018-04,6798,1132878.93,4.2062351895734595,0.04501323918799647
2018-05,6749,1128774.52,4.236239214519488,0.06563935397836716
2018-06,6096,1011448.96,4.307312252964427,0.011646981627296589
2018-07,6156,1027286.52,4.317750898986597,0.03378817413905133
2018-08,6351,985491.64,4.3103475513428124,0.061880018894662256
