customer_state,orders,gmv,avg_delivery_days,late_rate
SP,40494,5768518.23,8.298093544722676,0.044944930113103174
RJ,12350,2055401.57,14.848582995951418,0.12105263157894737
MG,11354,1818891.67,11.542187775233398,0.04571076272679232
RS,5344,861278.79,14.819236526946108,0.06081586826347305
PR,4923,781708.8,11.52671135486492,0.04042250660166565
SC,3546,595127.78,14.475183305132544,0.08206429780033841
BA,3256,591137.81,18.86640049140049,0.12162162162162163
DF,2080,346123.35,12.509134615384616,0.05673076923076923
GO,1957,334212.35,15.15074092999489,0.06540623403168115
ES,1995,317657.93,15.331829573934836,0.10726817042606517
PE,1593,308972.05,17.965473948524796,0.096045197740113
CE,1279,266436.77,20.817826426896012,0.1376075058639562
PA,946,212023.57,23.316067653276956,0.11205073995771671
MT,886,181224.42,17.59367945823928,0.05981941309255079
MA,717,147803.55,21.11715481171548,0.17433751743375175
PB,517,137838.55,19.95357833655706,0.10444874274661509
MS,701,134367.55,15.191155492154065,0.09700427960057062
PI,476,105178.19,18.993697478991596,0.13865546218487396
RN,474,100714.78,18.824894514767934,0.09282700421940929
AL,397,94172.49,24.04030226700252,0.2141057934508816
SE,335,70289.13,21.029850746268657,0.15223880597014924
TO,274,60007.37,17.226277372262775,0.09854014598540146
RO,243,56966.0,18.91358024691358,0.02880658436213992
AM,145,27585.47,25.986206896551725,0.027586206896551724
AC,80,19575.33,20.6375,0.0375
AP,67,16141.81,26.73134328358209,0.029850746268656716
RR,41,9039.52,28.975609756097562,0.12195121951219512
